LocationType,Location,TimeFrame,DataFormat,Data
County,Monterey,2000,Rate,5.9
County,Monterey,2015,Rate,3.7
County,Napa,2000,Rate,4.1
County,Napa,2001,Rate,5.3
County,Napa,2002,Rate,6.3
County,Napa,2003,Rate,3.1
County,Napa,2004,Rate,5
County,Napa,2005,Rate,4.6
County,Napa,2006,Rate,4.2
County,Napa,2007,Rate,3.2
County,Napa,2008,Rate,4.2
County,Napa,2013,Rate,6.7
County,Napa,2009,Rate,5.1
County,Napa,2010,Rate,6.8
County,Napa,2011,Rate,4.4
County,Napa,2012,Rate,6.1
County,Napa,2014,Rate,8.1
County,Napa,2015,Rate,8.1
County,Nevada,2014,Rate,4.2
County,Nevada,2012,Rate,7.4
County,Nevada,2011,Rate,10.3
County,Nevada,2010,Rate,7.3
County,Nevada,2009,Rate,5
County,Nevada,2013,Rate,6.2
County,Nevada,2008,Rate,6.1
County,Nevada,2007,Rate,6.9
County,Nevada,2006,Rate,9
County,Nevada,2005,Rate,9.1
County,Nevada,2004,Rate,8.4
County,Nevada,2003,Rate,6.7
County,Nevada,2002,Rate,6.3
County,Nevada,2001,Rate,7
County,Nevada,2000,Rate,6.1
County,Nevada,2015,Rate,5.4
County,Orange,2000,Rate,13.7
County,Orange,2001,Rate,11.4
County,Orange,2002,Rate,12.4
County,Orange,2003,Rate,12.5
County,Orange,2004,Rate,11.9
County,Orange,2005,Rate,11
County,Orange,2006,Rate,12.1
County,Orange,2007,Rate,12.9
County,Orange,2008,Rate,11.2
County,Orange,2013,Rate,7.5
County,Orange,2009,Rate,10.7
County,Orange,2010,Rate,10
County,Orange,2011,Rate,9.4
County,Orange,2012,Rate,8.1
County,Orange,2014,Rate,7.7
County,Orange,2015,Rate,8
County,Placer,2014,Rate,8.4
County,Placer,2012,Rate,9.2
County,Placer,2011,Rate,6.2
County,Placer,2010,Rate,6.6
County,Placer,2009,Rate,11.2
County,Placer,2013,Rate,8.8
County,Placer,2008,Rate,13.3
County,Placer,2007,Rate,13.4
County,Placer,2006,Rate,11.9
County,Placer,2005,Rate,10.5
County,Placer,2004,Rate,10.6
County,Placer,2003,Rate,13.8
County,Placer,2002,Rate,20.1
County,Placer,2001,Rate,20.3
County,Placer,2000,Rate,21.2
County,Placer,2015,Rate,6.7
County,Plumas,2000,Rate,22.1
County,Plumas,2001,Rate,21.5
County,Plumas,2002,Rate,27.6
County,Plumas,2003,Rate,28
County,Plumas,2004,Rate,18.7
County,Plumas,2005,Rate,18.2
County,Plumas,2006,Rate,23
County,Plumas,2007,Rate,23.2
County,Plumas,2008,Rate,16.6
County,Plumas,2013,Rate,13.8
County,Plumas,2009,Rate,23
County,Plumas,2010,Rate,17.4
County,Plumas,2011,Rate,18.4
County,Plumas,2012,Rate,17.3
County,Plumas,2014,Rate,22.1
County,Plumas,2015,Rate,21.7
