LocationType,Location,TimeFrame,DataFormat,Data
County,Marin,2009,Rate,0.9
County,Marin,2010,Rate,1.3
County,Marin,2011,Rate,1.4
County,Marin,2012,Rate,1.6
County,Marin,2013,Rate,1.4
County,Marin,2014,Rate,1.7
County,Mariposa,2000,Rate,5.4
County,Mariposa,2001,Rate,8.1
County,Mariposa,2002,Rate,10.8
County,Mariposa,2003,Rate,14.4
County,Mariposa,2004,Rate,14
County,Mariposa,2005,Rate,13.5
County,Mariposa,2006,Rate,12.3
County,Mariposa,2007,Rate,14.9
County,Mariposa,2008,Rate,12.6
County,Mariposa,2009,Rate,6.8
County,Mariposa,2010,Rate,6.5
County,Mariposa,2011,Rate,8.2
County,Mariposa,2012,Rate,7
County,Mariposa,2013,Rate,10.9
County,Mariposa,2014,Rate,5.5
County,Mendocino,2000,Rate,16.5
County,Mendocino,2001,Rate,16.3
County,Mendocino,2002,Rate,15.8
County,Mendocino,2003,Rate,15.9
County,Mendocino,2004,Rate,16
County,Mendocino,2005,Rate,14.3
County,Mendocino,2006,Rate,15.1
County,Mendocino,2007,Rate,15
County,Mendocino,2008,Rate,11.4
County,Mendocino,2009,Rate,12.1
County,Mendocino,2010,Rate,10.3
County,Mendocino,2011,Rate,10.7
County,Mendocino,2012,Rate,9.8
County,Mendocino,2013,Rate,11.7
County,Mendocino,2014,Rate,12.5
County,Merced,2000,Rate,5.3
County,Merced,2001,Rate,5.1
County,Merced,2002,Rate,6.4
County,Merced,2003,Rate,7.4
County,Merced,2004,Rate,6.7
County,Merced,2005,Rate,7.2
County,Merced,2006,Rate,8.3
County,Merced,2007,Rate,7.9
County,Merced,2008,Rate,7.6
County,Merced,2009,Rate,8.1
County,Merced,2010,Rate,8.6
County,Merced,2011,Rate,7.4
County,Merced,2012,Rate,6.6
County,Merced,2013,Rate,7.5
County,Merced,2014,Rate,7.3
County,Modoc,2000,Rate,11.1
County,Modoc,2001,Rate,13.6
County,Modoc,2002,Rate,11.6
County,Modoc,2003,Rate,11.4
County,Modoc,2004,Rate,8.6
County,Modoc,2005,Rate,8.8
County,Modoc,2006,Rate,7.3
County,Modoc,2007,Rate,6.8
County,Modoc,2008,Rate,3.3
County,Modoc,2009,Rate,2.3
County,Modoc,2010,Rate,2.8
County,Modoc,2011,Rate,2.4
County,Modoc,2012,Rate,4.6
County,Modoc,2013,Rate,3.9
County,Modoc,2014,Rate,5.9
County,Mono,2000,Rate,2.7
County,Mono,2001,Rate,2.6
County,Mono,2002,Rate,2.6
County,Mono,2003,Rate,1.9
County,Mono,2004,Rate,1.6
County,Mono,2005,Rate,2.4
County,Mono,2006,Rate,2.7
County,Mono,2007,Rate,2.7
County,Mono,2008,Rate,3.6
County,Mono,2009,Rate,2.6
County,Mono,2010,Rate,1
County,Mono,2011,Rate,1.3
County,Mono,2012,Rate,1.4
County,Mono,2013,Rate,1.7
County,Mono,2014,Rate,1
County,Monterey,2000,Rate,3.7
County,Monterey,2001,Rate,3.1
County,Monterey,2002,Rate,2.7
County,Monterey,2003,Rate,3.4
County,Monterey,2004,Rate,4
County,Monterey,2005,Rate,4.1
County,Monterey,2006,Rate,3.9
County,Monterey,2007,Rate,4
County,Monterey,2008,Rate,3.9
County,Monterey,2009,Rate,3.1
County,Monterey,2010,Rate,2.5
County,Monterey,2011,Rate,2.4
County,Monterey,2012,Rate,2.5
County,Monterey,2013,Rate,2.9
County,Monterey,2014,Rate,3.1
County,Napa,2000,Rate,4.5
County,Napa,2001,Rate,4.3
County,Napa,2002,Rate,4.3
County,Napa,2003,Rate,3.9
County,Napa,2004,Rate,4.3
County,Napa,2005,Rate,4.2
County,Napa,2006,Rate,3.7
County,Napa,2007,Rate,2.9
County,Napa,2008,Rate,2.8
County,Napa,2009,Rate,3.4
County,Napa,2010,Rate,3.7
County,Napa,2011,Rate,3.9
County,Napa,2012,Rate,2.9
County,Napa,2013,Rate,3.3
County,Napa,2014,Rate,4.6
County,Nevada,2000,Rate,4.7
County,Nevada,2001,Rate,4.7
County,Nevada,2002,Rate,5.4
County,Nevada,2003,Rate,4.6
County,Nevada,2004,Rate,5.1
County,Nevada,2005,Rate,4.5
County,Nevada,2006,Rate,4.1
County,Nevada,2007,Rate,3.4
County,Nevada,2008,Rate,3
County,Nevada,2009,Rate,3.6
County,Nevada,2010,Rate,4.7
County,Nevada,2011,Rate,5.1
County,Nevada,2012,Rate,6.1
County,Nevada,2013,Rate,5.2
County,Nevada,2014,Rate,5.2
County,Orange,2000,Rate,5.9
County,Orange,2001,Rate,5.4
County,Orange,2002,Rate,5.1
County,Orange,2003,Rate,4.4
County,Orange,2004,Rate,4
County,Orange,2005,Rate,3.7
County,Orange,2006,Rate,3.7
County,Orange,2007,Rate,4
County,Orange,2008,Rate,3.9
County,Orange,2009,Rate,3.6
County,Orange,2010,Rate,3.3
County,Orange,2011,Rate,3.2
County,Orange,2012,Rate,3.1
County,Orange,2013,Rate,3
County,Orange,2014,Rate,2.9
County,Placer,2000,Rate,5.9
County,Placer,2001,Rate,6
County,Placer,2002,Rate,5.3
County,Placer,2003,Rate,5.1
County,Placer,2004,Rate,4.7
County,Placer,2005,Rate,4.2
County,Placer,2006,Rate,3.9
County,Placer,2007,Rate,3.7
County,Placer,2008,Rate,3
County,Placer,2009,Rate,2.8
County,Placer,2010,Rate,3
County,Placer,2011,Rate,2.9
County,Placer,2012,Rate,2.8
County,Placer,2013,Rate,3
County,Placer,2014,Rate,3.7
County,Plumas,2000,Rate,4.9
County,Plumas,2001,Rate,8.4
County,Plumas,2002,Rate,12.1
County,Plumas,2003,Rate,10
County,Plumas,2004,Rate,10.3
County,Plumas,2005,Rate,7.8
County,Plumas,2006,Rate,11.3
County,Plumas,2007,Rate,16.5
County,Plumas,2008,Rate,10.8
County,Plumas,2009,Rate,13.8
County,Plumas,2010,Rate,16.3
County,Plumas,2011,Rate,15.1
County,Plumas,2012,Rate,17
County,Plumas,2013,Rate,11.6
County,Plumas,2014,Rate,12.3
County,Riverside,2000,Rate,9.2
County,Riverside,2001,Rate,8.7
County,Riverside,2002,Rate,8.5
County,Riverside,2003,Rate,8.6
County,Riverside,2004,Rate,8.4
County,Riverside,2005,Rate,8.8
County,Riverside,2006,Rate,9
County,Riverside,2007,Rate,9.3
County,Riverside,2008,Rate,7.4
County,Riverside,2009,Rate,6.2
County,Riverside,2010,Rate,6.3
County,Riverside,2011,Rate,6.6
County,Riverside,2012,Rate,6.3
County,Riverside,2013,Rate,6.4
County,Riverside,2014,Rate,7.2
County,Sacramento,2000,Rate,17.6
County,Sacramento,2001,Rate,15.3
County,Sacramento,2002,Rate,14
County,Sacramento,2003,Rate,12.6
County,Sacramento,2004,Rate,11.4
County,Sacramento,2005,Rate,12
County,Sacramento,2006,Rate,11.9
County,Sacramento,2007,Rate,11.3
County,Sacramento,2008,Rate,10.6
County,Sacramento,2009,Rate,10.7
County,Sacramento,2010,Rate,8.8
County,Sacramento,2011,Rate,7.5
County,Sacramento,2012,Rate,6.3
County,Sacramento,2013,Rate,6.2
County,Sacramento,2014,Rate,6.7
County,San Benito,2000,Rate,2.7
County,San Benito,2001,Rate,2.7
County,San Benito,2002,Rate,4.1
County,San Benito,2003,Rate,5.5
County,San Benito,2004,Rate,5.2
County,San Benito,2005,Rate,3.7
County,San Benito,2006,Rate,5
County,San Benito,2007,Rate,4.6
County,San Benito,2008,Rate,5.5
County,San Benito,2009,Rate,5.1
County,San Benito,2010,Rate,3.6
County,San Benito,2011,Rate,5.4
County,San Benito,2012,Rate,6.4
County,San Benito,2013,Rate,4.7
County,San Benito,2014,Rate,4.1
County,San Bernardino,2000,Rate,9.5
County,San Bernardino,2001,Rate,9.6
County,San Bernardino,2002,Rate,9.3
County,San Bernardino,2003,Rate,8.9
County,San Bernardino,2004,Rate,8.7
County,San Bernardino,2005,Rate,8.4
County,San Bernardino,2006,Rate,8
County,San Bernardino,2007,Rate,7.5
County,San Bernardino,2008,Rate,6.9
County,San Bernardino,2009,Rate,6.3
County,San Bernardino,2010,Rate,5.7
County,San Bernardino,2011,Rate,6.8
County,San Bernardino,2012,Rate,6.8
County,San Bernardino,2013,Rate,7.7
County,San Bernardino,2014,Rate,7.9
County,San Diego,2000,Rate,9.5
County,San Diego,2001,Rate,9.3
County,San Diego,2002,Rate,8.5
County,San Diego,2003,Rate,8.2
County,San Diego,2004,Rate,7.9
County,San Diego,2005,Rate,7.8
County,San Diego,2006,Rate,7.7
County,San Diego,2007,Rate,7.1
County,San Diego,2008,Rate,6.6
County,San Diego,2009,Rate,6.1
County,San Diego,2010,Rate,5.2
County,San Diego,2011,Rate,4.7
County,San Diego,2012,Rate,4.6
County,San Diego,2013,Rate,4.3
County,San Diego,2014,Rate,4.2
County,San Francisco,2000,Rate,22.6
County,San Francisco,2001,Rate,19.5
County,San Francisco,2002,Rate,19
County,San Francisco,2003,Rate,18.7
County,San Francisco,2004,Rate,18.3
County,San Francisco,2005,Rate,17
County,San Francisco,2006,Rate,16.2
County,San Francisco,2007,Rate,15.1
County,San Francisco,2008,Rate,13.1
County,San Francisco,2009,Rate,12.3
County,San Francisco,2010,Rate,11.4
County,San Francisco,2011,Rate,9.7
County,San Francisco,2012,Rate,8.4
County,San Francisco,2013,Rate,7.5
County,San Francisco,2014,Rate,6.7
County,San Joaquin,2000,Rate,8.9
County,San Joaquin,2001,Rate,8.8
County,San Joaquin,2002,Rate,8.7
County,San Joaquin,2003,Rate,8.3
County,San Joaquin,2004,Rate,8.2
County,San Joaquin,2005,Rate,8.7
County,San Joaquin,2006,Rate,8.5
County,San Joaquin,2007,Rate,7.8
County,San Joaquin,2008,Rate,6.6
County,San Joaquin,2009,Rate,6.4
County,San Joaquin,2010,Rate,6.1
County,San Joaquin,2011,Rate,5.8
County,San Joaquin,2012,Rate,5.9
County,San Joaquin,2013,Rate,6.7
County,San Joaquin,2014,Rate,7.1
County,San Luis Obispo,2000,Rate,6.9
County,San Luis Obispo,2001,Rate,6.1
County,San Luis Obispo,2002,Rate,6.9
County,San Luis Obispo,2003,Rate,7
County,San Luis Obispo,2004,Rate,5.8
County,San Luis Obispo,2005,Rate,6.4
County,San Luis Obispo,2006,Rate,6.5
County,San Luis Obispo,2007,Rate,6.6
County,San Luis Obispo,2008,Rate,6.6
County,San Luis Obispo,2009,Rate,6
County,San Luis Obispo,2010,Rate,6.3
County,San Luis Obispo,2011,Rate,6.6
County,San Luis Obispo,2012,Rate,7.1
County,San Luis Obispo,2013,Rate,7.1
County,San Luis Obispo,2014,Rate,5.9
County,San Mateo,2000,Rate,3.2
County,San Mateo,2001,Rate,3
County,San Mateo,2002,Rate,2.8
County,San Mateo,2003,Rate,3.1
County,San Mateo,2004,Rate,2.9
County,San Mateo,2005,Rate,2.8
County,San Mateo,2006,Rate,3
County,San Mateo,2007,Rate,2.8
County,San Mateo,2008,Rate,2.5
County,San Mateo,2009,Rate,1.9
County,San Mateo,2010,Rate,1.7
County,San Mateo,2011,Rate,1.8
County,San Mateo,2012,Rate,1.8
County,San Mateo,2013,Rate,1.9
County,San Mateo,2014,Rate,1.6
County,Santa Barbara,2000,Rate,3.8
County,Santa Barbara,2001,Rate,3.5
County,Santa Barbara,2002,Rate,3.1
County,Santa Barbara,2003,Rate,2.9
County,Santa Barbara,2004,Rate,3.3
County,Santa Barbara,2005,Rate,4.3
County,Santa Barbara,2006,Rate,5.6
County,Santa Barbara,2007,Rate,5.3
County,Santa Barbara,2008,Rate,5.4
County,Santa Barbara,2009,Rate,6.1
County,Santa Barbara,2010,Rate,5.5
County,Santa Barbara,2011,Rate,5.6
County,Santa Barbara,2012,Rate,5.2
County,Santa Barbara,2013,Rate,5.2
County,Santa Barbara,2014,Rate,4.5
County,Santa Clara,2000,Rate,6.3
County,Santa Clara,2001,Rate,5.7
County,Santa Clara,2002,Rate,5.5
County,Santa Clara,2003,Rate,5.2
County,Santa Clara,2004,Rate,4.8
County,Santa Clara,2005,Rate,4.8
County,Santa Clara,2006,Rate,4.8
County,Santa Clara,2007,Rate,4.7
County,Santa Clara,2008,Rate,3.8
County,Santa Clara,2009,Rate,3.3
County,Santa Clara,2010,Rate,2.5
County,Santa Clara,2011,Rate,2.3
County,Santa Clara,2012,Rate,2.2
County,Santa Clara,2013,Rate,2.5
County,Santa Clara,2014,Rate,2.6
County,Santa Cruz,2000,Rate,5.1
County,Santa Cruz,2001,Rate,4.9
County,Santa Cruz,2002,Rate,4.7
County,Santa Cruz,2003,Rate,4.5
County,Santa Cruz,2004,Rate,5.1
County,Santa Cruz,2005,Rate,5.8
County,Santa Cruz,2006,Rate,5.2
County,Santa Cruz,2007,Rate,5.4
County,Santa Cruz,2008,Rate,4
County,Santa Cruz,2009,Rate,4.7
County,Santa Cruz,2010,Rate,4.4
County,Santa Cruz,2011,Rate,4.7
County,Santa Cruz,2012,Rate,4.8
County,Santa Cruz,2013,Rate,4.5
County,Santa Cruz,2014,Rate,4.2
County,Shasta,2000,Rate,12.8
County,Shasta,2001,Rate,12.8
County,Shasta,2002,Rate,13.2
County,Shasta,2003,Rate,13.3
County,Shasta,2004,Rate,13.8
County,Shasta,2005,Rate,14.1
County,Shasta,2006,Rate,13.9
County,Shasta,2007,Rate,14.9
County,Shasta,2008,Rate,14.6
County,Shasta,2009,Rate,14.1
County,Shasta,2010,Rate,13.3
County,Shasta,2011,Rate,12.8
County,Shasta,2012,Rate,13.6
County,Shasta,2013,Rate,15.7
County,Shasta,2014,Rate,15.2
County,Sierra,2000,Rate,6
County,Sierra,2001,Rate,5.2
County,Sierra,2002,Rate,5.6
County,Sierra,2003,Rate,22.1
County,Sierra,2004,Rate,25.4
County,Sierra,2005,Rate,19.9
County,Sierra,2006,Rate,13.7
County,Sierra,2007,Rate,14.5
County,Sierra,2008,Rate,27.4
County,Sierra,2009,Rate,16.1
County,Sierra,2010,Rate,12.3
County,Sierra,2011,Rate,7.6
County,Sierra,2012,Rate,3.9
County,Sierra,2013,Rate,0
County,Sierra,2014,Rate,0
County,Siskiyou,2000,Rate,15.5
County,Siskiyou,2001,Rate,16.6
County,Siskiyou,2002,Rate,17.9
County,Siskiyou,2003,Rate,16
County,Siskiyou,2004,Rate,15
County,Siskiyou,2005,Rate,16.6
County,Siskiyou,2006,Rate,16.4
County,Siskiyou,2007,Rate,14.9
County,Siskiyou,2008,Rate,13.6
County,Siskiyou,2009,Rate,13.1
County,Siskiyou,2010,Rate,13.2
County,Siskiyou,2011,Rate,9.4
County,Siskiyou,2012,Rate,10.4
County,Siskiyou,2013,Rate,11.6
County,Siskiyou,2014,Rate,13.5
County,Solano,2000,Rate,3.5
County,Solano,2001,Rate,3.9
County,Solano,2002,Rate,4.1
County,Solano,2003,Rate,4.4
County,Solano,2004,Rate,5.2
County,Solano,2005,Rate,5
County,Solano,2006,Rate,5.1
County,Solano,2007,Rate,4.5
County,Solano,2008,Rate,4.1
County,Solano,2009,Rate,3.7
County,Solano,2010,Rate,3.5
County,Solano,2011,Rate,3.8
County,Solano,2012,Rate,3.9
County,Solano,2013,Rate,4.3
County,Solano,2014,Rate,4.3
County,Sonoma,2000,Rate,4.4
County,Sonoma,2001,Rate,4.8
County,Sonoma,2002,Rate,5
County,Sonoma,2003,Rate,4.8
County,Sonoma,2004,Rate,4.4
County,Sonoma,2005,Rate,4.6
County,Sonoma,2006,Rate,5
County,Sonoma,2007,Rate,4.9
County,Sonoma,2008,Rate,4.8
County,Sonoma,2009,Rate,4.4
County,Sonoma,2010,Rate,4.5
County,Sonoma,2011,Rate,4.9
County,Sonoma,2012,Rate,4.9
County,Sonoma,2013,Rate,4.6
County,Sonoma,2014,Rate,4.4
County,Stanislaus,2000,Rate,5.4
County,Stanislaus,2001,Rate,5
County,Stanislaus,2002,Rate,5.1
County,Stanislaus,2003,Rate,4.8
County,Stanislaus,2004,Rate,4.4
County,Stanislaus,2005,Rate,4.1
County,Stanislaus,2006,Rate,3.5
County,Stanislaus,2007,Rate,3.6
County,Stanislaus,2008,Rate,3.8
County,Stanislaus,2009,Rate,4.2
County,Stanislaus,2010,Rate,4
County,Stanislaus,2011,Rate,4.4
County,Stanislaus,2012,Rate,4.1
County,Stanislaus,2013,Rate,4.7
County,Stanislaus,2014,Rate,4.9
