LocationType,Location,Age group,TimeFrame,DataFormat,Data
County,Merced,19-20,2015,Percent,0.31844
County,Merced,0-20,2015,Percent,0.46934
County,Modoc,0-3,2013,Percent,0.36
County,Modoc,4-5,2013,Percent,0.55
County,Modoc,6-8,2013,Percent,0.46
County,Modoc,9-11,2013,Percent,0.49
County,Modoc,12-14,2013,Percent,0.47
County,Modoc,15-18,2013,Percent,0.42
County,Modoc,19-20,2013,Percent,0.38
County,Modoc,0-20,2013,Percent,0.44
County,Modoc,0-3,2014,Percent,0.33987
County,Modoc,4-5,2014,Percent,0.68269
County,Modoc,6-8,2014,Percent,0.48649
County,Modoc,9-11,2014,Percent,0.51969
County,Modoc,12-14,2014,Percent,0.47934
County,Modoc,15-18,2014,Percent,0.45752
County,Modoc,19-20,2014,Percent,0.32
County,Modoc,0-20,2014,Percent,0.47313
County,Modoc,0-3,2015,Percent,0.29474
County,Modoc,4-5,2015,Percent,0.50382
County,Modoc,6-8,2015,Percent,0.51445
County,Modoc,9-11,2015,Percent,0.48485
County,Modoc,12-14,2015,Percent,0.61111
County,Modoc,15-18,2015,Percent,0.41341
County,Modoc,19-20,2015,Percent,0.38028
County,Modoc,0-20,2015,Percent,0.45584
County,Mono,0-3,2013,Percent,0.5
County,Mono,4-5,2013,Percent,0.74
County,Mono,6-8,2013,Percent,0.72
County,Mono,9-11,2013,Percent,0.61
County,Mono,12-14,2013,Percent,NA
County,Mono,15-18,2013,Percent,0.52
County,Mono,19-20,2013,Percent,NA
County,Mono,0-20,2013,Percent,0.58
County,Mono,0-3,2014,Percent,0.36965
County,Mono,4-5,2014,Percent,0.68182
County,Mono,6-8,2014,Percent,0.70435
County,Mono,9-11,2014,Percent,0.6
County,Mono,12-14,2014,Percent,0.65244
